"shopProductID","shopID","productID","stockTake","description","productName","price"
910,3,189,1,"","Mandarin Amigo",1
911,3,190,1,"","Mandarin Pre-pack",1
912,3,191,1,"","Nectarines sale",1
913,3,192,1,"","Nectarines white",1
914,3,193,1,"","Nectarines white pkt",1
915,3,194,1,"","Nectarines yellow",1
916,3,195,1,"","Nectarines yellow pkt",1
917,3,196,1,"","Peaches white NO1",1
918,3,197,1,"","Peaches white",1
919,3,198,1,"","Peaches yellow",1
920,3,199,1,"","Peaches Gold",1
921,3,200,1,"","Peaches Donut",1
922,3,201,1,"","Blueberry",1
923,3,202,1,"","Papaya",1
924,3,203,1,"","Paw paw green",1
925,3,204,1,"","Pineapples leaf",1
926,3,205,1,"","Pineapples sugar",1
927,3,206,1,"","Pomegranates",1
928,3,207,1,"","Prune",1
929,3,208,1,"","Rock melon",1
930,3,209,1,"","Strawberry 250g",1
931,3,210,1,"","Strawberry 500g",1
932,3,211,1,"","Fuji good",1
933,3,212,1,"","Fuji sale",1
934,3,213,1,"","Kanzi",1
935,3,214,1,"","Gala good",1
936,3,215,1,"","Gala Sale",1
937,3,216,1,"","Gala sale bin",1
938,3,217,1,"","Gala 6 pkt",1
939,3,218,1,"","Gala lunchbox 1kg",1
940,3,219,1,"","Golden delicious",1
941,3,220,1,"","Granny Smith",1
942,3,221,1,"","Granny Smith pkt",1
943,3,222,1,"","Early Gold Apple",1
944,3,223,1,"","Hi Early",1
945,3,224,1,"","Hi Early pkt",1
946,3,225,1,"","Firm gold apple",1
947,3,226,1,"","Lady William",1
948,3,227,1,"","Sundowners",1
949,3,228,1,"","Sundowners sales",1
950,3,229,1,"","Pink lady good",1
951,3,230,1,"","Pink lady PKT",1
952,3,231,1,"","Jazz Apple",1
953,3,232,1,"","Robi gold Apple",1
954,3,233,1,"","Kiwi",1
955,3,234,1,"","Kiwi Tray",1
956,3,235,1,"","Kiwi gold",1
957,3,236,1,"","Pear packham",1
958,3,237,1,"","Pear Packham Pkt",1
959,3,238,1,"","Pear Yaly",1
960,3,239,1,"","Pear kosui",1
961,3,240,1,"","Pear barlet",1
962,3,241,1,"","Pear bosc",1
963,3,242,1,"","Pear cocktail",1
964,3,243,1,"","Pear josephine",1
965,3,244,1,"","Pear Precose",1
966,3,245,1,"","Precose lunch box",1
967,3,246,1,"","Pear Corella",1
968,3,247,1,"","Pear Red",1
969,3,248,1,"","Nashi pear",1
970,3,249,1,"","Nashi pear No2",1
971,3,250,1,"","Nashi pear pkt",1
972,3,251,1,"","Plum Seria",1
973,3,252,1,"","Plum Black Amber",1
974,3,253,1,"","Plum Bella",1
976,3,255,1,"","Amber jewel No1",1
977,3,256,1,"","Amber Jewel pkt",1
978,3,257,1,"","Plum Tegan Blue",1
979,3,258,1,"","Plum tegan blue pkt",1
980,3,259,1,"","Plum October",1
981,3,260,1,"","Plum Primetime",1
982,3,261,1,"","Plum Kelsey",1
983,3,262,1,"","Plum Sunrise",1
984,3,263,1,"","Plum Dappe Danny",1
985,3,264,1,"","Plum Fortune",1
986,3,265,1,"","Plum Midnight",1
987,3,266,1,"","Plum Mid Red",1
988,3,267,1,"","Plum Flavour fall",1
989,3,268,1,"","Plum August Candy",1
990,3,269,1,"","Guava",1
991,3,270,1,"","Grape Black",1
992,3,271,1,"","Grape red seedless",1
993,3,272,1,"","Grape red globe",1
994,3,273,1,"","Grape white seedless",1
995,3,274,1,"","White Dome",1
996,3,275,1,"","Red Grapefruit",1
997,3,276,1,"","Yellow Grapefruit",1
998,3,277,1,"","Grapefruit Pomelo",1
999,3,278,1,"","Banana",1
1000,3,279,1,"","Banana Green",1
1001,3,280,1,"","Banana carnarvon",1
1002,3,281,1,"","Banana Pack",1
1003,3,282,1,"","Banana l/finger",1
1004,3,283,1,"","Banana Monkey",1
1005,3,284,1,"","Banana  Sticky",1
1006,3,285,1,"","Garlic 500g",1
1007,3,286,1,"","Garlic peel 500g",1
1008,3,287,1,"","Garlic local",1
1009,3,288,1,"","Garlic Chives",1
1010,3,289,1,"","Shallots 5kg",1
1011,3,290,1,"","Shallots 10 kg",1
1012,3,291,1,"","Brown onion 10kg",1
1013,3,292,1,"","Brown onion 20kg",1
1014,3,293,1,"","Brown onion 2kg",1
1015,3,294,1,"","Brown onion loose",1
1016,3,295,1,"","Onion red 2 kg",1
1017,3,296,1,"","Onion red 10 kg",1
1018,3,297,1,"","onion red 1kg",1
1019,3,298,1,"","Onion pickle",1
1020,3,299,1,"","Onion white 20 kg",1
1021,3,300,1,"","Onion white 10 kg",1
1022,3,301,1,"","Onion white 5 kg",1
1023,3,302,1,"","Onion salad white",1
1024,3,303,1,"","Onion salad red",1
1025,3,304,1,"","Okra baby",1
1026,3,305,1,"","Orange Navel",1
1027,3,306,1,"","Orange box",1
1028,3,307,1,"","Orange Sales",1
1029,3,308,1,"","Orange 2 kg",1
1030,3,309,1,"","Orange 3kg",1
1031,3,310,1,"","Orange cara box",1
1032,3,311,1,"","Orange Cara Bins",1
1033,3,312,1,"","Potatoes 16kg",1
1034,3,313,1,"","Potato 15kg",1
1035,3,314,1,"","Potatoes 10kg gourmet",1
1036,3,315,1,"","Potatoes 10kg select",1
1037,3,316,1,"","Potatoes 4kg Blue",1
1038,3,317,1,"","Potatoes 4kg Purple",1
1039,3,318,1,"","Potatoes 4kg Red",1
1040,3,319,1,"","Potatoes 4kg Yellow",1
1041,3,320,1,"","Potatoes 20kg GM",1
1042,3,321,1,"","Potatoes 20kg RB",1
1043,3,322,1,"","Potatoes 20kg SL",1
1044,3,323,1,"","Sweet potato purple",1
1045,3,324,1,"","Sweet potato red",1
1046,3,325,1,"","Sweet potato white",1
