"shopProductID","productID","shopID","stockTake","productName","price"
917,196,3,1,"Peaches white NO1",1
918,197,3,1,"Peaches white",1
919,198,3,1,"Peaches yellow",1
920,199,3,1,"Peaches Gold",1
921,200,3,1,"Peaches Donut",1
922,201,3,1,"Blueberry",1
923,202,3,1,"Papaya",1
924,203,3,1,"Paw paw green",1
925,204,3,1,"Pineapples leaf",1
926,205,3,1,"Pineapples sugar",1
927,206,3,1,"Pomegranates",1
928,207,3,1,"Prune",1
929,208,3,1,"Rock melon",1
930,209,3,1,"Strawberry 250g",1
931,210,3,1,"Strawberry 500g",1
932,211,3,1,"Fuji good",1
933,212,3,1,"Fuji sale",1
934,213,3,1,"Kanzi",1
935,214,3,1,"Gala good",1
936,215,3,1,"Gala Sale",1
937,216,3,1,"Gala sale bin",1
938,217,3,1,"Gala 6 pkt",1
939,218,3,1,"Gala lunchbox 1kg",1
940,219,3,1,"Golden delicious",1
941,220,3,1,"Granny Smith",1
942,221,3,1,"Granny Smith pkt",1
943,222,3,1,"Early Gold Apple",1
944,223,3,1,"Hi Early",1
945,224,3,1,"Hi Early pkt",1
946,225,3,1,"Firm gold apple",1
947,226,3,1,"Lady William",1
948,227,3,1,"Sundowners",1
949,228,3,1,"Sundowners sales",1
950,229,3,1,"Pink lady good",1
951,230,3,1,"Pink lady PKT",1
952,231,3,1,"Jazz Apple",1
953,232,3,1,"Robi gold Apple",1
954,233,3,1,"Kiwi",1
955,234,3,1,"Kiwi Tray",1
956,235,3,1,"Kiwi gold",1
957,236,3,1,"Pear packham",1
958,237,3,1,"Pear Packham Pkt",1
959,238,3,1,"Pear Yaly",1
960,239,3,1,"Pear kosui",1
961,240,3,1,"Pear barlet",1
962,241,3,1,"Pear bosc",1
963,242,3,1,"Pear cocktail",1
964,243,3,1,"Pear josephine",1
965,244,3,1,"Pear Precose",1
966,245,3,1,"Precose lunch box",1
967,246,3,1,"Pear Corella",1
968,247,3,1,"Pear Red",1
969,248,3,1,"Nashi pear",1
970,249,3,1,"Nashi pear No2",1
