"shopProductID","shopID","productID","stockTake","description","productName","price"
166,1,189,1,"","Mandarin Amigo",1
167,1,190,1,"","Mandarin Pre-pack",1
168,1,191,1,"","Nectarines sale",1
169,1,192,1,"","Nectarines white",1
170,1,193,1,"","Nectarines white pkt",1
171,1,194,1,"","Nectarines yellow",1
172,1,195,1,"","Nectarines yellow pkt",1
173,1,196,1,"","Peaches white NO1",1
174,1,197,1,"","Peaches white",1
175,1,198,1,"","Peaches yellow",1
176,1,199,1,"","Peaches Gold",1
177,1,200,1,"","Peaches Donut",1
178,1,201,1,"","Blueberry",1
179,1,202,1,"","Papaya",1
180,1,203,1,"","Paw paw green",1
181,1,204,1,"","Pineapples leaf",1
182,1,205,1,"","Pineapples sugar",1
183,1,206,1,"","Pomegranates",1
184,1,207,1,"","Prune",1
185,1,208,1,"","Rock melon",1
186,1,209,1,"","Strawberry 250g",1
187,1,210,1,"","Strawberry 500g",1
188,1,211,1,"","Fuji good",1
189,1,212,1,"","Fuji sale",1
190,1,213,1,"","Kanzi",1
191,1,214,1,"","Gala good",1
192,1,215,1,"","Gala Sale",1
193,1,216,1,"","Gala sale bin",1
194,1,217,1,"","Gala 6 pkt",1
195,1,218,1,"","Gala lunchbox 1kg",1
196,1,219,1,"","Golden delicious",1
197,1,220,1,"","Granny Smith",1
198,1,221,1,"","Granny Smith pkt",1
199,1,222,1,"","Early Gold Apple",1
200,1,223,1,"","Hi Early",1
201,1,224,1,"","Hi Early pkt",1
202,1,225,1,"","Firm gold apple",1
203,1,226,1,"","Lady William",1
204,1,227,1,"","Sundowners",1
205,1,228,1,"","Sundowners sales",1
206,1,229,1,"","Pink lady good",1
207,1,230,1,"","Pink lady PKT",1
208,1,231,1,"","Jazz Apple",1
209,1,232,1,"","Robi gold Apple",1
210,1,233,1,"","Kiwi",1
211,1,234,1,"","Kiwi Tray",1
212,1,235,1,"","Kiwi gold",1
213,1,236,1,"","Pear packham",1
214,1,237,1,"","Pear Packham Pkt",1
215,1,238,1,"","Pear Yaly",1
216,1,239,1,"","Pear kosui",1
217,1,240,1,"","Pear barlet",1
218,1,241,1,"","Pear bosc",1
219,1,242,1,"","Pear cocktail",1
220,1,243,1,"","Pear josephine",1
221,1,244,1,"","Pear Precose",1
222,1,245,1,"","Precose lunch box",1
223,1,246,1,"","Pear Corella",1
224,1,247,1,"","Pear Red",1
225,1,248,1,"","Nashi pear",1
226,1,249,1,"","Nashi pear No2",1
227,1,250,1,"","Nashi pear pkt",1
228,1,251,1,"","Plum Seria",1
229,1,252,1,"","Plum Black Amber",1
230,1,253,1,"","Plum Bella",1
232,1,255,125,"","Amber jewel No1",1
233,1,256,1,"","Amber Jewel pkt",1
234,1,257,1,"","Plum Tegan Blue",1
235,1,258,1,"","Plum tegan blue pkt",1
236,1,259,1,"","Plum October",1
237,1,260,1,"","Plum Primetime",1
238,1,261,1,"","Plum Kelsey",1
239,1,262,1,"","Plum Sunrise",1
240,1,263,1,"","Plum Dappe Danny",1
241,1,264,1,"","Plum Fortune",1
242,1,265,1,"","Plum Midnight",1
243,1,266,1,"","Plum Mid Red",1
244,1,267,1,"","Plum Flavour fall",1
245,1,268,1,"","Plum August Candy",1
246,1,269,1,"","Guava",1
247,1,270,1,"","Grape Black",1
248,1,271,1,"","Grape red seedless",1
249,1,272,1,"","Grape red globe",1
250,1,273,1,"","Grape white seedless",1
251,1,274,1,"","White Dome",1
252,1,275,1,"","Red Grapefruit",1
253,1,276,1,"","Yellow Grapefruit",1
254,1,277,1,"","Grapefruit Pomelo",1
255,1,278,1,"","Banana",1
256,1,279,1,"","Banana Green",1
257,1,280,1,"","Banana carnarvon",1
258,1,281,1,"","Banana Pack",1
259,1,282,1,"","Banana l/finger",1
260,1,283,1,"","Banana Monkey",1
261,1,284,1,"","Banana  Sticky",1
262,1,285,1,"","Garlic 500g",1
263,1,286,1,"","Garlic peel 500g",1
264,1,287,1,"","Garlic local",1
265,1,288,1,"","Garlic Chives",1
266,1,289,1,"","Shallots 5kg",1
267,1,290,1,"","Shallots 10 kg",1
268,1,291,1,"","Brown onion 10kg",1
269,1,292,1,"","Brown onion 20kg",1
270,1,293,1,"","Brown onion 2kg",1
271,1,294,1,"","Brown onion loose",1
272,1,295,1,"","Onion red 2 kg",1
273,1,296,1,"","Onion red 10 kg",1
274,1,297,1,"","onion red 1kg",1
275,1,298,1,"","Onion pickle",1
276,1,299,1,"","Onion white 20 kg",1
277,1,300,1,"","Onion white 10 kg",1
278,1,301,1,"","Onion white 5 kg",1
279,1,302,1,"","Onion salad white",1
280,1,303,1,"","Onion salad red",1
281,1,304,1,"","Okra baby",1
282,1,305,1,"","Orange Navel",1
283,1,306,1,"","Orange box",1
284,1,307,1,"","Orange Sales",1
285,1,308,1,"","Orange 2 kg",1
286,1,309,1,"","Orange 3kg",1
287,1,310,1,"","Orange cara box",1
288,1,311,1,"","Orange Cara Bins",1
289,1,312,1,"","Potatoes 16kg",1
290,1,313,1,"","Potato 15kg",1
291,1,314,1,"","Potatoes 10kg gourmet",1
292,1,315,1,"","Potatoes 10kg select",1
293,1,316,1,"","Potatoes 4kg Blue",1
294,1,317,1,"","Potatoes 4kg Purple",1
295,1,318,1,"","Potatoes 4kg Red",1
296,1,319,1,"","Potatoes 4kg Yellow",1
297,1,320,1,"","Potatoes 20kg GM",1
298,1,321,1,"","Potatoes 20kg RB",1
299,1,322,1,"","Potatoes 20kg SL",1
300,1,323,1,"","Sweet potato purple",1
301,1,324,1,"","Sweet potato red",1
302,1,325,1,"","Sweet potato white",1
303,1,326,1,"","Yam (Khoai Mo)",1
304,1,327,1,"","Pumpkin butter",1
305,1,328,1,"","Pumpkin japanese",1
306,1,329,1,"","Pumpkin gold",1
307,1,330,1,"","Watermelons seedless",1
308,1,331,1,"","Watermelons seeded",1
309,1,332,1,"","Eggs 600g",1
310,1,333,1,"","Eggs 700g",1
311,1,334,1,"","Eggs 850g",1
312,1,335,1,"","Eggs WR 600g",1
313,1,336,1,"","Eggs WR 700g",1
314,1,337,1,"","Eggs GE 500g",1
315,1,338,1,"","Eggs GE 600g",1
316,1,339,1,"","Eggs GE 700g",1
317,1,340,1,"","Eggs Loose",1
318,1,341,1,"","Free range 600g",1
319,1,342,1,"","Free range 700g",1
320,1,343,1,"","Free range 800g",1
321,1,344,1,"","Kale",1
322,1,345,1,"","English spinach",1
323,1,346,1,"","Choysum big",1
324,1,347,1,"","Choysum small",1
325,1,348,1,"","Kailan",1
326,1,349,1,"","Kai choy",1
327,1,350,1,"","Pok choy",1
328,1,351,1,"","White Pok choy",1
329,1,352,1,"","Coriander",1
330,1,353,1,"","Mint",1
331,1,354,1,"","Water Spinach",1
332,1,355,1,"","Rau den",1
333,1,356,1,"","Lemongrass",1
334,1,357,1,"","Kohlrabi",1
335,1,358,1,"","Ngo gai",1
336,1,359,1,"","Ngo om",1
337,1,360,1,"","Rau ram",1
338,1,361,1,"","Dap ca",1
339,1,362,1,"","Tia to",1
340,1,363,1,"","Mong toi",1
341,1,364,1,"","Lime Leaf",1
342,1,365,1,"","Sapoche",1
343,1,366,1,"","Enoki 200g",1
344,1,367,1,"","Enoki 330g",1
345,1,368,1,"","King Oyster",1
346,1,369,1,"","oyster 100g",1
347,1,370,1,"","shiitake",1
348,1,371,1,"","mixed goumet",1
349,1,372,1,"","Dragon Fruit",1
350,1,373,1,"","Taro Jap (Khoai So)",1
351,1,374,1,"","Taro",1
352,1,375,1,"","Garlic Shoot",1
353,1,376,1,"","Onion Flower",1
354,1,377,1,"","Chive (He )kg",1
355,1,378,1,"","Pandan leaf",1
356,1,379,1,"","La Lot",1
357,1,380,1,"","Hanh huong Kg",1
358,1,381,1,"","Bac ha kg",1
359,1,382,1,"","Kinh gioi Kg",1
360,1,383,1,"","Rau dang kg",1
361,1,384,1,"","Dot lang Kg",1
362,1,385,1,"","Gala 1.5 kg",1
363,1,386,1,"","Water Cress",1
364,1,387,1,"","Sugar snap",1
365,1,388,1,"","Mesculin mix",1
366,1,389,1,"","Baby spinach in bag",1
367,1,390,1,"","Dates 250g",1
368,1,391,1,"","Dates 5kg",1
369,1,392,1,"","Dot Dau",1
370,1,393,1,"","Bong He",1
371,1,394,1,"","Purple yam",1
372,1,395,1,"","Star fruit",1
